date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:33	107/107	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2008%20Sep%202021%2005:18:27%20GMT	https://www.kustomer.com/robots.txt		(from )
13:18:33	174158/174158	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2005:18:27%20GMT	https://www.kustomer.com/	D:/PC/website/kustomer/www.kustomer.com/index.html	(from )
13:18:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2005:18:28%20GMT	https://www.kustomer.com/o,baseURI	D:/PC/website/kustomer/www.kustomer.com/o,baseURI	(from https://www.kustomer.com/)
13:18:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2005:18:29%20GMT	https://www.kustomer.com/GET	D:/PC/website/kustomer/www.kustomer.com/GET	(from https://www.kustomer.com/)
13:18:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Sep%202021%2005:18:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/PC/website/kustomer/www.googletagmanager.com/gtm.25445.delayed	(from https://www.kustomer.com/)
13:18:35	69293/69293	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2005:18:29%20GMT	https://www.kustomer.com/o,baseURI/	D:/PC/website/kustomer/www.kustomer.com/o,baseURI/index.html	(from https://www.kustomer.com/)
13:18:35	69287/69287	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2005:18:29%20GMT	https://www.kustomer.com/GET/	D:/PC/website/kustomer/www.kustomer.com/GET/index.html	(from https://www.kustomer.com/)
13:18:35	118998/118998	---MC-	200	added ('OK')	application/javascript	date:Wed,%2008%20Sep%202021%2005:18:29%20GMT	https://www.googleoptimize.com/optimize.js?id=GTM-WHDWR5H	D:/PC/website/kustomer/www.googleoptimize.com/optimizec7e9.js	(from https://www.kustomer.com/)
13:18:36	210185/210185	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Aug%202021%2018:07:15%20GMT	https://a.omappapi.com/app/js/api.min.js	D:/PC/website/kustomer/a.omappapi.com/app/js/api.min.js	(from https://www.kustomer.com/)
13:18:36	851/851	---MC-	200	added ('OK')	application/rss+xml	etag:%221334131b7735daf4f4ed12fb376f1e97%22	https://www.kustomer.com/comments/feed/	D:/PC/website/kustomer/www.kustomer.com/comments/feed/index.html	(from https://www.kustomer.com/)
13:18:37	69288/69288	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2005:18:31%20GMT	https://www.kustomer.com/Edge/	D:/PC/website/kustomer/www.kustomer.com/Edge/index.html	(from https://www.kustomer.com/)
13:18:37	151008/151008	---MC-	200	added ('OK')	application/rss+xml	etag:%223e1310be1b842b4bb237035993e38886%22	https://www.kustomer.com/feed/	D:/PC/website/kustomer/www.kustomer.com/feed/index.html	(from https://www.kustomer.com/)
